PIDM,ERM_INITIAL_SCORE,ERM_CURRENT_SCORE,ERM_SCORE
1962414,62,62,30
1963422,58,76,30
1963559,63,73,30
1963563,70,70,40
1963694,56,56,30
1963791,66,66,40
1963992,66,72,40
1964426,59,59,30
1964439,68,71,40
1964657,71,71,40
1964661,66,66,40
1964875,58,58,30
1964956,60,60,30
1964981,73,75,40
1965013,57,57,30
1965178,51,67,15
1965294,64,64,30
1965343,55,55,30
1965421,49,49,15
1965426,65,65,40
1965611,72,100,40
1969460,40,40,10
1970067,43,43,10
1970206,58,58,30
1970479,45,69,15
1971060,60,73,30
1972551,63,63,30
1972626,74,74,40
1972672,51,68,15
1972678,55,55,30
1972743,58,78,30
1973267,47,95,30
1974289,46,46,15
1974316,70,70,40
1974641,49,49,15
1975778,75,75,40
1975993,55,55,30
1976178,55,98,40
1977493,56,56,30
1979756,69,100,40
1980001,65,65,40
1980039,56,97,40
1980048,72,72,40
1980283,60,100,40
1980290,57,57,30
1981116,68,68,40
1981128,47,47,15
1981221,39,50,10
1981328,55,55,30
1981340,56,58,30
1981365,53,53,25
1981510,74,74,40
1982771,56,100,40
1982885,58,58,30
1982887,55,55,30
1982890,62,62,30
1983467,37,37,10
1983518,73,100,40
1984429,69,71,40
1984452,48,48,15
1984502,70,78,40
1985026,48,48,15
1986268,57,100,40
1986608,57,77,30
1986614,65,75,40
1986617,51,null,15
1988318,43,56,10
1989121,61,61,30
1989739,66,100,40
1989749,54,85,30
1989923,39,39,10
1993286,75,75,40
1994738,62,62,30
1995122,68,68,40
1995216,66,71,40
1995254,56,56,30
1995793,57,57,30
1996126,63,78,30
1996948,62,62,30
1997432,56,56,30
1997473,49,49,15
1997604,57,97,40
1998162,65,65,40
1998570,63,63,30
1999765,59,59,30
1999868,58,97,40
2000278,69,69,40
2001052,32,65,15
2001112,64,64,30
2001484,72,74,40
2001632,47,100,30
2001914,48,48,15
2002064,73,73,40
2002853,71,73,40
2003225,56,93,30
2003451,69,71,40
2003623,44,44,10
2003858,61,61,30
2003924,40,40,10
2004426,62,62,30
2004458,61,76,30
2004798,69,69,40
2008184,57,57,30
2009133,73,73,40
2009388,51,51,15
2009892,57,97,40
2010032,55,72,30
2010316,56,100,40
2010856,71,71,40
2011941,69,73,40
2012248,52,56,25
2013060,55,55,30
2013200,62,62,30
2013329,70,70,40
2013502,72,72,40
2014097,65,65,40
2014119,54,100,40
2014307,58,58,30
2014816,56,56,30
2014855,64,97,40
2015409,73,null,40
2015410,63,63,30
2017290,49,49,15
2017371,53,100,40
2017436,63,97,40
2017854,48,69,15
2018349,59,98,40
2018401,75,75,40
2018409,47,47,15
2018626,56,56,30
2018632,66,66,40
2018875,62,100,40
2019107,60,60,30
2019166,64,64,30
2019266,71,73,40
2019560,58,97,40
2019678,63,63,30
2019724,69,86,40
2019725,73,100,40
2019801,56,56,30
2019904,46,46,15
2019970,52,52,25
2020013,58,58,30
2020212,68,68,40
2020823,61,100,40
2021056,49,100,30
2021721,74,74,40
2022532,46,46,15
2022990,53,81,30
2024621,62,null,30
2024950,64,100,40
2025446,58,100,40
2025473,75,75,40
2025579,69,69,40
2025771,68,68,40
2025818,66,66,40
2026352,52,52,25
2027115,69,100,40
2027143,32,32,10
2027149,59,59,30
2027687,44,44,10
2028550,69,73,40
2028555,73,73,40
2028783,59,59,30
2029035,70,70,40
2029220,61,61,30
2029817,62,null,30
2030040,69,69,40
2030602,69,69,40
2031108,49,49,15
2031168,53,53,25
2031553,72,72,40
2031697,34,34,10
2031971,51,100,30
2032837,65,73,40
2032951,71,99,40
2034064,47,73,25
2035317,45,45,15
2035400,60,100,40
2036015,70,70,40
2036394,38,38,10
2036426,55,73,30
2036732,43,68,15
2037238,59,59,30
2037344,55,62,30
2037407,51,85,30
2037525,61,61,30
2037755,47,69,15
2038294,42,75,25
2039240,66,66,40
2039449,63,63,30
2039518,41,41,10
2039571,69,69,40
2040265,54,60,25
2040823,35,65,15
2041121,71,71,40
2041494,72,72,40
2041521,58,58,30
2041522,73,73,40
2041569,65,65,40
2041689,44,44,10
2041692,73,100,40
2042412,57,57,30
2042841,71,71,40
2043490,60,60,30
2043779,56,56,30
2044213,65,65,40
2044411,72,72,40
2044851,68,68,40
2044856,65,65,40
2045607,61,67,30
2045894,68,72,40
2046036,63,63,30
2046129,63,100,40
2046851,59,67,30
2046909,51,51,15
2047082,49,88,30
2047160,53,62,25
2047932,58,58,30
2048182,63,73,30
2048876,55,100,40
2049058,46,46,15
2049182,63,63,30
2049459,51,51,15
2049863,61,61,30
2050264,74,100,40
2050539,65,65,40
2050586,71,null,40
2050604,61,61,30
2050611,57,72,30
2050632,61,61,30
2050668,46,78,30
2050767,43,43,10
2050770,52,52,25
2050796,72,72,40
2050836,43,43,10
2050859,53,53,25
2050921,71,71,40
2051167,43,51,10
2051246,47,null,15
2051445,45,78,30
2051821,49,49,15
2052098,37,37,10
2052165,70,70,40
2052991,71,71,40
2053252,68,68,40
2053405,72,72,40
2053667,47,47,15
2053894,58,58,30
2054724,49,49,15
2054765,61,61,30
2054885,57,57,30
2055607,44,44,10
2055758,47,47,15
2055952,54,54,25
2055969,69,69,40
2056398,60,60,30
2056411,52,52,25
2056460,70,70,40
2056974,51,60,15
2056997,61,61,30
2057087,68,68,40
2057363,68,100,40
2057683,71,71,40
2057733,69,69,40
2057980,41,83,25
2057998,64,64,30
2058003,56,56,30
2058063,65,76,40
2058099,47,null,15
2058144,52,61,25
2058192,36,65,15
2058202,44,44,10
2058251,57,57,30
2058344,70,null,40
2058680,69,69,40
2058690,51,51,15
2058694,65,100,40
2058926,64,64,30
2058942,70,70,40
2058978,69,69,40
2059043,58,100,40
2059078,75,75,40
2059123,74,74,40
2059156,41,41,10
2059398,46,46,15
2059408,64,64,30
2059547,57,100,40
2059647,70,100,40
2059673,28,30,10
2059771,64,64,30
2059855,63,63,30
2060028,52,83,30
2060035,57,67,30
2060039,73,73,40
2060047,55,64,30
2060082,71,null,40
2060111,44,56,10
2060137,74,75,40
2060139,66,86,40
2060149,63,72,30
2060263,71,71,40
2060277,61,61,30
2060283,64,64,30
2060306,70,100,40
2060379,63,63,30
2060408,56,56,30
2060445,68,68,40
2060668,64,68,30
2060789,60,60,30
2060932,45,63,15
2060993,65,65,40
2061298,40,40,10
2061364,52,52,25
2061487,32,32,10
2061548,61,61,30
2061563,55,55,30
2062031,71,71,40
2062176,47,63,15
2062373,54,65,25
2062387,54,54,25
2062452,46,46,15
2063224,35,35,10
2063285,72,72,40
2063288,73,73,40
2063318,47,47,15
2063492,42,42,10
2063559,44,44,10
2063571,71,71,40
2063623,51,51,15
2063714,44,44,10
2063771,58,58,30
2063899,75,75,40
2063941,68,73,40
2065578,70,71,40
2066509,59,59,30
2066654,69,100,40
2066824,66,66,40
2066840,57,92,30
2066920,53,53,25
2067441,70,100,40
2068013,72,73,40
2068522,62,62,30
2069297,72,72,40
2069572,46,46,15
2070730,75,75,40
2070976,61,61,30
2071027,62,70,30
2071256,58,97,40
2071344,71,71,40
2071356,53,62,25
2071945,46,46,15
2071976,39,39,10
2072350,53,100,40
2072886,54,54,25
2072954,64,64,30
2073100,43,97,25
2073777,66,66,40
2074360,70,70,40
2074444,62,97,40
2074907,66,66,40
2075243,66,66,40
2075289,59,79,30
2075471,70,70,40
2075481,68,68,40
2075688,56,56,30
