Unnamed: 0,PIDM,term_code,gid,admit_term,degree.x,major_code,college.x,major.x,stu_type,stu_level.x,high_school_grad_year,high_school_grad_month,hs_gpa,sat_total,sat_new_readwrit,sat_new_math,act_composite,act_eng,act_math,gid_tests,test_date,activity_date,test_code,test_score,gid_hsmath,hsmath_course,hsmath_grade,gid_courses,term,student_campus,event,campus_code,course_number,section_number,subj_code,section_type,credit_levl,course_credits,reg_status,grade,grade_category,course_number_updated,course_level,PIDM_course_number_term,ERM_SCORE
85718,2423870,202370,-3176976,202370.0,Bachelor of Science,NURS,College of Nursing,Nursing,N,UG,,,3.7,1030.0,510.0,520.0,,,,-3176976,2023-09-21 01:31:53,2023-09-21 01:31:53,ZCMP,150.006,-3176976.0,HSM60,,-3176976,202370,MZZ,202370EOT,Z,151Q,1,M,L,UG,4,W,W,Unsuccessful,151Q,400,2423870_151Q_202370,
85723,2423941,202270,-3177040,202270.0,Bachelor of Science,ESGL,College of Letters & Science,Earth Sciences,T,UG,,,,,,,,,,-3177040,2022-08-14 01:37:40,2022-08-14 01:37:40,ZCMP,400.032,,,,-3177040,202270,MZZ,202270EOT,Z,151Q,1,M,L,UG,4,RW,C+,Unsuccessful,151Q,400,2423941_151Q_202270,40.0
85728,2423968,202370,-3177063,202370.0,Bachelor of Science,PMED,College of Letters & Science,Pre-Medicine,N,UG,,,3.17,,,,21.0,20.0,26.0,-3177063,2023-02-25 01:32:12,2023-02-25 01:32:12,ZCMP,400.001,-3177063.0,HSM60,,-3177063,202370,MZZ,202370EOT,Z,216Q,10,STAT,L,UG,3,RW,B-,Successful,216Q,300,2423968_216Q_202370,40.0
85732,2423997,202370,-3177092,202370.0,Bachelor of Science,BUMK,College of Business,Business,N,UG,2023.0,6.0,2.72,,,,,,,-3177092,2023-06-08 01:33:20,2023-06-08 01:33:20,ZCMP,150.032,-3177092.0,HSM50,B,-3177092,202370,MZZ,202370EOT,ZGC,090,904,M,L,UG,4,W,W*,Unsuccessful,Combo2,100,2423997_090_202370,15.0
85736,2424039,202370,-3177130,202370.0,Bachelor of Science,CSPR,College of Engineering,Computer Science,N,UG,,,3.2,,,,,,,-3177130,2023-06-06 01:33:20,2023-06-06 01:33:20,ZCMP,400.032,-3177130.0,HSM60,,-3177130,202370,MZZ,202370EOT,Z,151Q,6,M,L,UG,4,RW,B+,Successful,151Q,400,2424039_151Q_202370,40.0
85737,2424043,202370,-3177134,202370.0,Bachelor of Science,PMED,College of Letters & Science,Pre-Medicine,N,UG,,,3.6,,,,,,,-3177134,2023-06-30 01:32:30,2023-06-30 01:32:30,ZCMP,400.032,-3177134.0,HSM80,,-3177134,202370,MZZ,202370EOT,Z,216Q,4,STAT,L,UG,3,RE,B,Successful,216Q,300,2424043_216Q_202370,40.0
85739,2424088,202270,-3177168,202270.0,Bachelor of Science,US,University College,University Studies,N,UG,2022.0,6.0,3.55,,,,,,,-3177168,2022-08-10 01:35:56,2022-08-10 01:35:56,ZCMP,250.032,-3177168.0,HSM50,B,-3177168,202270,MZZ,202270EOT,ZGC,121Q,915,M,L,UG,3,RW,B+,Successful,Combo3,250,2424088_121Q_202270,25.0
85742,2424131,202370,-3177211,202370.0,Bachelor of Science,BUMK,College of Business,Business,N,UG,,,2.58,1210.0,660.0,620.0,24.0,26.0,24.0,-3177211,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,400.002,,,,-3177211,202370,MZZ,202370EOT,Z,161Q,7,M,L,UG,4,RW,F,Unsuccessful,161Q,400,2424131_161Q_202370,
85744,2424143,202370,-3177223,202370.0,Bachelor of Science,PMED,College of Letters & Science,Pre-Medicine,N,UG,2023.0,5.0,3.98,,,,27.0,30.0,26.0,-3177223,2023-06-08 01:33:20,2023-06-08 01:33:20,ZCMP,450.013,-3177223.0,HSM80,A-,-3177223,202370,MZZ,202370EOT,Z,216Q,3,STAT,L,UG,3,RW,A,Successful,216Q,300,2424143_216Q_202370,
85752,2424144,202370,-3177224,202370.0,Bachelor of Science,CLBA,College of Agriculture,Cell Biology and Neuroscience,N,UG,2023.0,5.0,4.0,,,,34.0,35.0,32.0,-3177224,2023-02-08 01:39:14,2023-02-08 01:39:14,ZCMP,500.001,-3177224.0,HSM80,A,-3177224,202370,MZZ,202370EOT,Z,216Q,2,STAT,L,UG,3,RE,B,Successful,216Q,300,2424144_216Q_202370,40.0
