Unnamed: 0,PIDM,term_code,gid,admit_term,degree.x,major_code,college.x,major.x,stu_type,stu_level.x,high_school_grad_year,high_school_grad_month,hs_gpa,sat_total,sat_new_readwrit,sat_new_math,act_composite,act_eng,act_math,gid_tests,test_date,activity_date,test_code,test_score,gid_hsmath,hsmath_course,hsmath_grade,gid_courses,term,student_campus,event,campus_code,course_number,section_number,subj_code,section_type,credit_levl,course_credits,reg_status,grade,grade_category,course_number_updated,course_level,PIDM_course_number_term,ERM_SCORE
29,149852,202070,-110755,202070.0,Associate of Arts,AA,Gallatin College,Associate of Arts,T,UG,,,1.72,,,,,,,-110755,2022-01-11 01:33:57,2022-01-11 01:33:57,ZCMP,100.032,,,,-110755,202270,MGG,202270EOT,ZGC,090,922,M,L,UG,4,RE,B*,Successful,Combo2,100,149852_090_202270,10.0
35,210982,202030,-171885,202030.0,Associate of Science,AS,Gallatin College,Associate of Science,N,UG,1996.0,2.0,2.5,,,,,,,-171885,2020-05-28 10:31:32,2020-05-28 10:31:32,ZCMP,100.016,,,,-171885,202170,MGG,202170EOT,Z,216Q,2,STAT,L,UG,3,RW,B,Successful,216Q,300,210982_216Q_202170,
39,324739,202130,-1053980,202130.0,Associate of Arts,AA,Gallatin College,Associate of Arts,T,UG,,,,,,,,,,-1053980,2021-11-23 01:36:50,2021-11-23 01:36:50,ZCMP,300.032,,,,-1053980,202270,MGG,202270EOT,Z,105Q,2,M,L,UG,3,RW,A,Successful,105Q,290,324739_105Q_202270,30.0
43,372115,202170,-1097291,202170.0,Bachelor of Science,FNSC,College of Education/HHD,Food and Nutrition,T,UG,,,,,,,,,,-1097291,2021-07-19 01:39:45,2021-07-19 01:39:45,ZCMP,400.032,,,,-1097291,202170,MZZ,202170EOT,Z,161Q,7,M,L,UG,4,RW,A-,Successful,161Q,400,372115_161Q_202170,40.0
46,376132,202170,-1100963,202170.0,Bachelor of Science,PBAC,College of Business,Pre-Business,T,UG,,,,,,,,,,-1100963,2021-08-24 01:32:00,2021-08-24 01:32:00,ZCMP,100.032,,,,-1100963,202230,MZZ,202230EOT,ZGC,090,921,M,L,UG,4,RW,B+*,Successful,Combo2,100,376132_090_202230,10.0
55,400959,202170,-1124526,202170.0,Bachelor of Science,ESGL,College of Letters & Science,Earth Sciences,T,UG,,,,,,,17.0,17.0,18.0,-1124526,2021-06-04 01:33:55,2021-06-04 01:33:55,ZCMP,400.032,,,,-1124526,202170,MZZ,202170EOT,Z,151Q,5,M,L,UG,4,RW,A-,Successful,151Q,400,400959_151Q_202170,40.0
60,452703,202230,-1173217,202230.0,Bachelor of Science,PNUR,College of Nursing,Pre-Nursing,N,UG,2004.0,6.0,3.0,,,,,,,-1173217,2021-11-28 01:33:25,2021-11-28 01:33:25,ZCMP,300.032,-1173217.0,HSM70,,-1173217,202230,MZZ,202230EOT,Z,121Q,12,M,L,UG,3,RW,B+,Successful,121Q,300,452703_121Q_202230,30.0
61,487135,202050,-1206316,202050.0,Bachelor of Science,ELED,College of Education/HHD,Elementary Education K-8,T,UG,,,,,,,,,,-1206316,2020-05-28 10:31:32,2020-05-28 10:31:32,ZCMP,0.0,,,,-1206316,202330,MZZ,202330EOT,ZGC,090,921,M,L,UG,4,RE,D*,Unsuccessful,Combo2,100,487135_090_202330,
65,641193,201970,-1380386,201970.0,Bachelor of Science,BLFM,College of Letters & Science,Biological Sciences,N,UG,2003.0,5.0,3.0,,,,,,,-1380386,2020-05-28 10:31:33,2020-05-28 10:31:33,ZCMP,150.016,,,,-1380386,202170,MZZ,202170EOT,Z,161Q,2,M,L,UG,4,RW,C-,Unsuccessful,161Q,400,641193_161Q_202170,
67,664074,201670,-1405544,201670.0,Associate of Science,AS,Gallatin College,Associate of Science,T,UG,,,,,,,,,,-1405544,2022-11-19 01:32:07,2022-11-19 01:32:07,ZCMP,100.016,,,,-1405544,202330,MGG,202330EOT,ZGC,105Q,902,M,L,UG,3,W,W,Unsuccessful,Combo1,150,664074_105Q_202330,
73,702012,202270,-1444958,202270.0,Associate of Science,AS,Gallatin College,Associate of Science,N,UG,2004.0,5.0,3.11,,,,,,,-1444958,2023-01-08 01:31:34,2023-01-08 01:31:34,ZCMP,100.032,,,,-1444958,202330,MGG,202330EOT,ZGC,090,923,M,L,UG,4,RE,A*,Successful,Combo2,100,702012_090_202330,10.0
75,723943,201970,-1469827,201970.0,Non Degree,NDGR,The Graduate School/Non-Degree,Non-Degree Graduate,X,GR,2005.0,6.0,2.19,,,,25.0,22.0,23.0,-1469827,2021-04-01 16:13:01,2021-04-01 16:13:01,ZCMP,300.001,,,,-1469827,202230,MZZ,202230EOT,Z,216Q,6,STAT,L,UG,3,RW,A,Successful,216Q,300,723943_216Q_202230,
76,730391,201870,-1477696,201870.0,Bachelor of Science,HEHE,College of Education/HHD,Health and Human Performance,T,UG,,,,,,,,,,-1477696,2021-11-23 01:36:50,2021-11-23 01:36:50,ZCMP,150.016,,,,-1477696,202170,MZZ,202170EOT,Z,216Q,16,STAT,L,UG,3,RW,C+,Unsuccessful,216Q,300,730391_216Q_202170,
80,775992,202170,-1522691,202170.0,Bachelor of Science,CSPR,College of Engineering,Computer Science,T,UG,,,,,,,22.0,21.0,26.0,-1522691,2021-07-21 01:33:44,2021-07-21 01:33:44,ZCMP,400.001,,,,-1522691,202270,MZZ,202270EOT,Z,171Q,3,M,L,UG,4,RE,B+,Successful,171Q,500,775992_171Q_202270,
82,819334,202270,-1564558,202270.0,Certificate of Tech Studies,ITCS,Gallatin College,Cyber Security/Information,N,UG,2005.0,5.0,1.65,,,,,,,-1564558,2022-08-20 01:35:16,2022-08-20 01:35:16,ZCMP,100.032,,,,-1564558,202270,MGG,202270EOT,ZGC,088,901,M,L,UG,4,RE,C+*,Unsuccessful,088,100,819334_088_202270,10.0
86,821237,202170,-1566399,202170.0,Bachelor of Science,FNDS,College of Education/HHD,Food and Nutrition,N,UG,2005.0,6.0,3.51,,,,,,,-1566399,2021-07-23 01:35:20,2021-07-23 01:35:20,ZCMP,150.032,-1566399.0,HSM50,,-1566399,202230,MZZ,202230EOT,ZGC,090,904,M,L,UG,4,RW,A*,Successful,Combo2,100,821237_090_202230,15.0
87,830635,202270,-1575709,202270.0,Bachelor of Science,BUMG,College of Business,Business,T,UG,,,,,,,,,,-1575709,2022-05-11 01:33:11,2022-05-11 01:33:11,ZCMP,100.032,,,,-1575709,202270,MZZ,202270EOT,ZGC,090,921,M,L,UG,4,RE,D*,Unsuccessful,Combo2,100,830635_090_202270,10.0
109,881347,202270,-1625306,202270.0,Associate of Science,AS,Gallatin College,Associate of Science,N,UG,1999.0,5.0,3.0,,,,,,,-1625306,2022-12-14 01:31:44,2022-12-14 01:31:44,ZCMP,100.032,-1625306.0,HSM50,D,-1625306,202330,MGG,202330EOT,ZGC,090,923,M,L,UG,4,RE,A*,Successful,Combo2,100,881347_090_202330,10.0
125,883336,202170,-1627225,202170.0,Bachelor of Science,PMBS,College of Letters & Science,Pre-Medicine,T,UG,,,,,,,,,,-1627225,2021-05-13 01:32:16,2021-05-13 01:32:16,ZCMP,250.006,,,,-1627225,202170,MZZ,202170EOT,ZGC,121Q,914,M,L,UG,3,RW,A,Successful,Combo3,250,883336_121Q_202170,
129,908670,201930,-1651661,201930.0,Bachelor of Science,ENLR,College of Agriculture,Environmental Sciences,T,UG,,,,,,,,,,-1651661,2020-05-28 10:31:33,2020-05-28 10:31:33,ZCMP,100.016,,,,-1651661,202250,MZZ,202250EOT,ZGO,121Q,892,M,L,UG,3,RW,D,Unsuccessful,121Q,300,908670_121Q_202250,
132,932078,202070,-1683802,202070.0,Non Degree,NDGR,The Graduate School/Non-Degree,Non-Degree Graduate,X,GR,,,,,,,,,,-1683802,2022-02-09 01:33:02,2022-02-09 01:33:02,ZCMP,300.032,,,,-1683802,202170,MZZ,202170EOT,ZGC,121Q,902,M,L,GR,3,W,W,Unsuccessful,Combo3,250,932078_121Q_202170,30.0
170,947329,202170,-1719848,202170.0,Bachelor of Science,AGFR,College of Agriculture,Agricultural Business,N,UG,2007.0,5.0,2.88,,,,24.0,22.0,20.0,-1719848,2021-07-20 01:33:44,2021-07-20 01:33:44,ZCMP,150.005,-1719848.0,HSM50,C,-1719848,202230,MZZ,202230EOT,ZGC,090,903,M,L,UG,4,RW,A*,Successful,Combo2,100,947329_090_202230,
181,955846,202370,-1733277,202370.0,Bachelor of Science,US,University College,University Studies,T,UG,,,,,,,19.0,19.0,20.0,-1733277,2021-12-18 01:32:11,2021-12-18 01:32:11,ZCMP,150.005,,,,-1733277,202370,MZZ,202370EOT,ZGC,090,909,M,L,UG,4,RW,A*,Successful,Combo2,100,955846_090_202370,
190,984014,202170,-1760711,202170.0,Bachelor of Science,ME,College of Engineering,Mechanical Engineering,T,UG,,,,,,,,,,-1760711,2021-06-25 01:33:27,2021-06-25 01:33:27,ZCMP,300.032,,,,-1760711,202170,MZZ,202170EOT,Z,171Q,9,M,L,UG,4,RW,B,Successful,171Q,500,984014_171Q_202170,30.0
193,995635,202270,-1771938,202270.0,Bachelor of Science,ENES,College of Agriculture,Environmental Sciences,T,UG,,,,,,,,,,-1771938,2022-02-09 01:34:14,2022-02-09 01:34:14,ZCMP,0.0,,,,-1771938,202270,MZZ,202270EOT,Z,161Q,6,M,L,UG,4,RE,F,Unsuccessful,161Q,400,995635_161Q_202270,
194,1000392,202150,-1776518,202150.0,Certificate Baccalaureate Lvl,PMCT,College of Letters & Science,Pre-Medical Certificate,T,UG,2008.0,6.0,3.6,,,,,,,-1776518,2021-02-02 01:32:00,2021-02-02 01:32:00,ZCMP,300.006,,,,-1776518,202250,MZZ,202250EOT,ZO,161Q,803,M,L,UG,4,RW,A,Successful,161Q,400,1000392_161Q_202250,
197,1007885,202270,-1783638,202270.0,Bachelor of Science,CE,College of Engineering,Civil Engineering,T,UG,,,,,,,16.0,12.0,17.0,-1783638,2022-04-23 01:35:33,2022-04-23 01:35:33,ZCMP,150.001,,,,-1783638,202370,MZZ,202370EOT,Z,216Q,3,STAT,L,UG,3,RE,C+,Unsuccessful,216Q,300,1007885_216Q_202370,
198,1010362,202230,-1785969,202230.0,Bachelor of Science,PMED,College of Letters & Science,Pre-Medicine,T,UG,,,,,,,29.0,28.0,26.0,-1785969,2021-11-16 01:34:26,2021-11-16 01:34:26,ZCMP,400.001,-1785969.0,HSM40,,-1785969,202230,MZZ,202230EOT,Z,161Q,16,M,L,UG,4,RW,A,Successful,161Q,400,1010362_161Q_202230,
202,1020529,202030,-1795308,202030.0,Bachelor of Science,ENVH,College of Agriculture,Environmental Horticulture,N,UG,,,,,,,,,,-1795308,2020-08-19 13:29:28,2020-08-19 13:29:28,ZCMP,0.0,,,,-1795308,202330,MZZ,202330EOT,Z,216Q,4,STAT,L,UG,3,RW,C,Unsuccessful,216Q,300,1020529_216Q_202330,
203,1022213,201770,-1796935,201770.0,Bachelor of Science,MBOP,College of Letters & Science,Microbiology,N,UG,2017.0,6.0,3.13,,,,21.0,15.0,24.0,-1796935,2020-05-28 10:31:34,2020-05-28 10:31:34,ZCMP,300.001,,,,-1796935,202170,MZZ,202170EOT,Z,161Q,4,M,L,UG,4,RW,C+,Unsuccessful,161Q,400,1022213_161Q_202170,
205,1034670,201670,-1809010,201670.0,Bachelor of Science,COMP,College of Engineering,Computer Engineering,N,UG,2016.0,6.0,2.97,,,,21.0,18.0,21.0,-1809010,2020-08-19 13:29:28,2020-08-19 13:29:28,ZCMP,250.005,,,,-1809010,202170,MZZ,202170EOT,Z,171Q,10,M,L,UG,4,RW,F,Unsuccessful,171Q,500,1034670_171Q_202170,
206,1050361,201870,-1823886,201870.0,Bachelor of Science,PMED,College of Letters & Science,Pre-Medicine,C,UG,2016.0,10.0,2.5,,,,,,,-1823886,2020-05-28 10:31:34,2020-05-28 10:31:34,ZCMP,150.016,,,,-1823886,202270,MZZ,202270EOT,ZO,105Q,801,M,L,UG,3,RE,B,Successful,105Q,290,1050361_105Q_202270,
221,1063567,202170,-1836990,202170.0,Bachelor of Science,ECON,College of Letters & Science,Economics,T,UG,2009.0,5.0,2.32,,,,,,,-1836990,2022-05-20 01:34:09,2022-05-20 01:34:09,ZCMP,400.032,-1836990.0,HSM50,,-1836990,202230,MZZ,202230EOT,Z,216Q,8,STAT,L,UG,3,RE,C,Unsuccessful,216Q,300,1063567_216Q_202230,40.0
238,1063630,202070,-1837053,202070.0,Bachelor of Science,MOFO,College of Engineering,Computer Science,T,UG,2009.0,6.0,,,,,,,,-1837053,2020-08-06 01:31:27,2020-08-06 01:31:27,ZCMP,0.0,,,,-1837053,202230,MZZ,202230EOT,Z,171Q,10,M,L,UG,4,RW,A,Successful,171Q,500,1063630_171Q_202230,
250,1090875,202270,-1862989,202270.0,Bachelor of Science,CE,College of Engineering,Civil Engineering,N,UG,2010.0,5.0,2.5,,,,,,,-1862989,2022-07-15 01:36:05,2022-07-15 01:36:05,ZCMP,150.032,,,,-1862989,202270,MZZ,202270EOT,ZGC,090,914,M,L,UG,4,RW,A*,Successful,Combo2,100,1090875_090_202270,15.0
255,1100244,201970,-1872103,201970.0,Associate of Applied Science,PLTP,Gallatin College,Photonics and Laser Technology,N,UG,2008.0,12.0,2.5,,,,,,,-1872103,2021-11-23 01:36:52,2021-11-23 01:36:53,ZCMP,300.032,,,,-1872103,202230,MGG,202230EOT,Z,121Q,8,M,L,UG,3,RE,F,Unsuccessful,121Q,300,1100244_121Q_202230,30.0
257,1106229,202370,-1877888,202370.0,Bachelor of Science,PNUR,College of Nursing,Pre-Nursing,N,UG,2009.0,5.0,2.9,,,,28.0,34.0,23.0,-1877888,2023-07-04 01:31:39,2023-07-04 01:31:39,ZCMP,300.001,,,,-1877888,202370,MZZ,202370EOT,Z,121Q,6,M,L,UG,3,RE,A,Successful,121Q,300,1106229_121Q_202370,
261,1107806,202170,-1879378,202170.0,Bachelor of Science,ANTH,College of Letters & Science,Anthropology,T,UG,,,,,,,,,,-1879378,2021-06-01 01:33:25,2021-06-01 01:33:25,ZCMP,250.032,,,,-1879378,202230,MZZ,202230EOT,ZGO,121Q,891,M,L,UG,3,RW,,,121Q,300,1107806_121Q_202230,25.0
272,1119136,202330,-1890408,202330.0,Bachelor of Science,STAT,College of Letters & Science,Mathematics,T,UG,,,,,,,,,,-1890408,2023-01-11 01:32:36,2023-01-11 01:32:36,ZCMP,450.064,,,,-1890408,202330,MZZ,202330EOT,Z,151Q,5,M,L,UG,4,RW,B,Successful,151Q,400,1119136_151Q_202330,40.0
276,1136568,202170,-1907651,202170.0,Bachelor of Science,CSPR,College of Engineering,Computer Science,T,UG,2010.0,6.0,3.09,,,,,,,-1907651,2021-02-02 01:32:04,2021-02-02 01:32:04,ZCMP,0.0,-1907651.0,HSM60,,-1907651,202170,MZZ,202170EOT,Z,151Q,2,M,L,UG,4,RW,A-,Successful,151Q,400,1136568_151Q_202170,
311,1150093,201970,-1920731,201970.0,Bachelor of Science,CHBC,College of Letters & Science,Chemistry,N,UG,,,3.41,,600.0,620.0,,,,-1920731,2022-01-22 01:40:12,2022-01-22 01:40:12,ZCMP,400.002,,,,-1920731,202230,MZZ,202230EOT,Z,216Q,7,STAT,L,UG,3,WD,W,Unsuccessful,216Q,300,1150093_216Q_202230,
312,1151399,201970,-1921916,201970.0,Bachelor of Arts,PSCI,College of Letters & Science,Political Science,N,UG,,,3.5,,,,30.0,33.0,27.0,-1921916,2020-05-28 10:31:35,2020-05-28 10:31:35,ZCMP,500.001,,,,-1921916,202230,MZZ,202230EOT,Z,105Q,4,M,L,UG,3,RE,B,Successful,105Q,290,1151399_105Q_202230,
316,1153831,201750,-1924236,201750.0,Bachelor of Science,PNUR,College of Nursing,Pre-Nursing,T,UG,,,,,,,,,,-1924236,2022-01-12 01:33:55,2022-01-12 01:33:55,ZCMP,400.032,,,,-1924236,202170,MZZ,202170EOT,Z,216Q,1,STAT,L,UG,3,RE,A-,Successful,216Q,300,1153831_216Q_202170,40.0
333,1164572,202070,-1934624,202070.0,Bachelor of Science,PBAC,College of Business,Pre-Business,T,UG,2011.0,5.0,3.14,,,,,,,-1934624,2020-05-28 10:31:35,2020-05-28 10:31:35,ZCMP,0.0,,,,-1934624,202170,MZZ,202170EOT,Z,161Q,6,M,L,UG,4,W,W,Unsuccessful,161Q,400,1164572_161Q_202170,
339,1165855,201970,-1935901,201970.0,Bachelor of Science,MBMC,College of Letters & Science,Microbiology,T,UG,2011.0,5.0,3.2,,,,,,,-1935901,2020-05-28 10:31:35,2020-05-28 10:31:35,ZCMP,150.016,,,,-1935901,202170,MZZ,202170EOT,Z,216Q,7,STAT,L,UG,3,RW,D,Unsuccessful,216Q,300,1165855_216Q_202170,
347,1169220,201930,-1939176,201930.0,Bachelor of Science,EDSS,College of Education/HHD,Secondary Education,N,UG,2018.0,10.0,1.85,,,,,,,-1939176,2020-05-28 10:31:35,2020-05-28 10:31:35,ZCMP,150.016,,,,-1939176,202170,MZZ,202170EOT,Z,161Q,13,M,L,UG,4,RW,C-,Unsuccessful,161Q,400,1169220_161Q_202170,
348,1169220,201930,-1939176,201930.0,Bachelor of Science,EDSS,College of Education/HHD,Secondary Education,N,UG,2018.0,10.0,1.85,,,,,,,-1939176,2020-05-28 10:31:35,2020-05-28 10:31:35,ZCMP,150.016,,,,-1939176,202170,MZZ,202170EOT,Z,216Q,6,STAT,L,UG,3,RW,C,Unsuccessful,216Q,300,1169220_216Q_202170,
353,1190280,202170,-1959562,202170.0,Bachelor of Arts,EGET,College of Letters & Science,English,T,UG,2011.0,6.0,,,,,24.0,24.0,23.0,-1959562,2021-02-02 01:32:04,2021-02-02 01:32:04,ZCMP,300.001,,,,-1959562,202270,MZZ,202270EOT,Z,121Q,16,M,L,UG,3,W,W,Unsuccessful,121Q,300,1190280_121Q_202270,
379,1201804,202230,-1970897,202230.0,Bachelor of Science,RGEM,College of Agriculture,Nat Resources/Rangeland Ecol,T,UG,,,,,,,26.0,29.0,24.0,-1970897,2021-09-16 01:31:41,2021-09-16 01:31:41,ZCMP,300.001,,,,-1970897,202250,MZZ,202250EOT,ZO,216Q,803,STAT,L,UG,3,RE,A,Successful,216Q,300,1201804_216Q_202250,30.0
381,1201804,202230,-1970897,202230.0,Bachelor of Science,RGEM,College of Agriculture,Nat Resources/Rangeland Ecol,T,UG,,,,,,,26.0,29.0,24.0,-1970897,2021-09-16 01:31:41,2021-09-16 01:31:41,ZCMP,300.001,,,,-1970897,202250,MZZ,202250EOT,ZO,121Q,801,M,L,UG,3,RW,B+,Successful,121Q,300,1201804_121Q_202250,30.0
393,1209224,201930,-1977880,201930.0,Certificate of Applied Science,BOOK,Gallatin College,Bookkeeping,T,UG,,,,,,,,,,-1977880,2021-04-01 16:13:08,2021-04-01 16:13:08,ZCMP,150.002,,,,-1977880,202330,MGG,202330EOT,ZGC,090,991,M,L,UG,4,RW,A*,Successful,Combo2,100,1209224_090_202330,
394,1235537,202270,-2003765,202270.0,Bachelor of Science,BUAC,College of Business,Business,T,UG,2005.0,6.0,2.72,,,,,,,-2003765,2022-11-12 01:31:52,2022-11-12 01:31:52,ZCMP,400.032,,,,-2003765,202330,MZZ,202330EOT,Z,161Q,9,M,L,UG,4,RW,B-,Successful,161Q,400,1235537_161Q_202330,40.0
399,1246961,202070,-2014978,202070.0,Bachelor of Science,HEHE,College of Education/HHD,Health and Human Performance,T,UG,2012.0,6.0,,,,,,,,-2014978,2020-05-28 10:31:36,2020-05-28 10:31:36,ZCMP,0.0,,,,-2014978,202170,MZZ,202170EOT,Z,161Q,2,M,L,UG,4,RW,B-,Successful,161Q,400,1246961_161Q_202170,
403,1247458,202130,-2015472,202130.0,Bachelor of Science,PBMK,College of Business,Pre-Business,T,UG,,,,,,,,,,-2015472,2020-09-05 01:31:35,2020-09-05 01:31:35,ZCMP,0.0,,,,-2015472,202170,MZZ,202170EOT,Z,161Q,2,M,L,UG,4,RW,F,Unsuccessful,161Q,400,1247458_161Q_202170,
411,1249827,202270,-2017788,202270.0,Bachelor of Science,ME,College of Engineering,Mechanical Engineering,T,UG,,,,,,,,,,-2017788,2022-05-12 01:33:37,2022-05-12 01:33:37,ZCMP,0.0,,,,-2017788,202270,MZZ,202270EOT,Z,151Q,13,M,L,UG,4,RE,B,Successful,151Q,400,1249827_151Q_202270,
423,1265884,202070,-2033186,202070.0,Bachelor of Science,BLBE,College of Letters & Science,Biological Sciences,T,UG,2011.0,6.0,2.83,,,,,,,-2033186,2020-06-03 01:41:17,2020-06-03 01:41:17,ZCMP,150.002,,,,-2033186,202270,MZZ,202270EOT,Z,216Q,3,STAT,L,UG,3,RW,A-,Successful,216Q,300,1265884_216Q_202270,
426,1275161,202270,-2042349,202270.0,Bachelor of Science,BEID,College of Agriculture,Tech Ed Industrial Tech Option,T,UG,,,,,,,17.0,19.0,16.0,-2042349,2022-06-01 01:34:11,2022-06-01 01:34:11,ZCMP,250.006,,,,-2042349,202270,MZZ,202270EOT,ZGC,121Q,902,M,L,UG,3,RW,B+,Successful,Combo3,250,1275161_121Q_202270,
427,1275339,202270,-2042527,202270.0,Bachelor of Science,FNDS,College of Education/HHD,Food and Nutrition,T,UG,2011.0,5.0,3.65,,,,,,,-2042527,2022-02-09 01:34:14,2022-02-09 01:34:14,ZCMP,250.006,,,,-2042527,202330,MZZ,202330EOT,Z,216Q,6,STAT,L,UG,3,RW,B,Successful,216Q,300,1275339_216Q_202330,
430,1275516,202170,-2042704,201270.0,Bachelor of Science,CSPR,College of Engineering,Computer Science,R,UG,2012.0,6.0,3.52,,,,25.0,26.0,26.0,-2042704,2021-11-23 01:36:54,2021-11-23 01:36:54,ZCMP,400.001,,,,-2042704,202170,MZZ,202170EOT,Z,171Q,1,M,L,UG,4,RW,A,Successful,171Q,500,1275516_171Q_202170,
434,1276646,201950,-2043834,201950.0,Bachelor of Science,CSPR,College of Engineering,Computer Science,N,UG,2012.0,6.0,2.37,,,,,,,-2043834,2020-08-19 13:29:29,2020-08-19 13:29:29,ZCMP,150.016,,,,-2043834,202230,MZZ,202230EOT,Z,171Q,10,M,L,UG,4,RW,F,Unsuccessful,171Q,500,1276646_171Q_202230,
437,1282403,202070,-2049448,202070.0,Bachelor of Science,US,University College,University Studies,N,UG,2004.0,6.0,1.9,,,,,,,-2049448,2020-07-23 01:46:38,2020-07-23 01:46:38,ZCMP,0.0,,,,-2049448,202230,MZZ,202230EOT,Z,161Q,4,M,L,UG,4,RW,A,Successful,161Q,400,1282403_161Q_202230,
439,1288163,202370,-2054927,202370.0,Bachelor of Science,BLBE,College of Letters & Science,Biological Sciences,N,UG,,,3.51,,,,29.0,28.0,25.0,-2054927,2023-02-08 01:38:48,2023-02-08 01:38:48,ZCMP,400.001,-2054927.0,HSM50,A-,-2054927,202370,MZZ,202370EOT,Z,161Q,16,M,L,UG,4,RE,B,Successful,161Q,400,1288163_161Q_202370,
460,1289415,202070,-2056069,202070.0,Bachelor of Science,PBMG,College of Business,Pre-Business,N,UG,,,2.4,,,,20.0,19.0,21.0,-2056069,2020-05-28 10:31:37,2020-05-28 10:31:37,ZCMP,250.005,-2056069.0,HSM01,,-2056069,202250,MZZ,202250EOT,ZGO,121Q,892,M,L,UG,3,RW,C,Unsuccessful,121Q,300,1289415_121Q_202250,
462,1307332,202270,-2073776,202270.0,Bachelor of Science,PSCS,College of Agriculture,Plant Science,T,UG,,,,,,,,,,-2073776,2022-07-18 01:32:51,2022-07-18 01:32:51,ZCMP,400.032,,,,-2073776,202270,MZZ,202270EOT,Z,121Q,12,M,L,UG,3,RW,B,Successful,121Q,300,1307332_121Q_202270,40.0
466,1311252,201870,-2077533,201870.0,Associate of Science,AS,Gallatin College,Associate of Science,T,UG,2012.0,6.0,2.46,,,,,,,-2077533,2021-04-01 16:13:10,2021-04-01 16:13:10,ZCMP,150.016,,,,-2077533,202170,MZZ,202170EOT,ZGC,121Q,903,M,L,UG,3,RW,C,Unsuccessful,Combo3,250,1311252_121Q_202170,
471,1315121,202170,-2081352,202170.0,Bachelor of Arts,FPFM,College of Arts & Architecture,Film and Photography,T,UG,,,2.7,,,,,,,-2081352,2021-02-02 01:32:04,2021-02-02 01:32:04,ZCMP,400.002,-2081352.0,HSM60,,-2081352,202230,MZZ,202230EOT,Z,105Q,1,M,L,UG,3,RW,B,Successful,105Q,290,1315121_105Q_202230,
472,1315703,201950,-2081914,201950.0,Bachelor of Science,CSPR,College of Engineering,Computer Science,N,UG,2012.0,6.0,3.02,,,,,,,-2081914,2020-08-19 13:29:29,2020-08-19 13:29:29,ZCMP,100.016,,,,-2081914,202170,MZZ,202170EOT,Z,151Q,5,M,L,UG,4,RW,B-,Successful,151Q,400,1315703_151Q_202170,
475,1315907,201930,-2082113,201930.0,Bachelor of Science,HDFS,College of Education/HHD,Human Development & Family Sci,N,UG,2013.0,6.0,2.41,,,,17.0,20.0,16.0,-2082113,2021-05-11 11:25:20,2021-05-11 11:25:20,ZCMP,150.016,,,,-2082113,202170,MZZ,202170EOT,ZGC,105Q,902,M,L,UG,3,RE,B,Successful,Combo1,150,1315907_105Q_202170,
480,1328762,201670,-2094693,201670.0,Bachelor of Science,PBMG,College of Business,Pre-Business,N,UG,2013.0,6.0,3.429,,,,27.0,27.0,24.0,-2094693,2022-01-22 01:40:13,2022-01-22 01:40:13,ZCMP,300.001,,,,-2094693,202230,MZZ,202230EOT,ZGO,121Q,891,M,L,UG,3,RW,B,Successful,121Q,300,1328762_121Q_202230,
485,1334792,202170,-2100577,202170.0,Bachelor of Science,PNUR,College of Nursing,Pre-Nursing,T,UG,2010.0,5.0,,,,,,,,-2100577,2021-06-23 01:32:10,2021-06-23 01:32:10,ZCMP,150.032,-2100577.0,HSM60,,-2100577,202170,MZZ,202170EOT,ZGC,090,906,M,L,UG,4,RW,B*,Successful,Combo2,100,1334792_090_202170,15.0
486,1335350,201870,-2101107,201870.0,Bachelor of Science,MAAM,College of Letters & Science,Mathematics,N,UG,2012.0,5.0,2.2,,,,22.0,23.0,19.0,-2101107,2022-04-07 01:35:55,2022-04-07 01:35:55,ZCMP,150.001,,,,-2101107,202270,MZZ,202270EOT,Z,171Q,16,M,L,UG,4,RE,B-,Successful,171Q,500,1335350_171Q_202270,
510,1342208,201770,-2107871,201770.0,Bachelor of Science,ASEQ,College of Agriculture,Animal Science,T,UG,2001.0,5.0,2.77,,,,,,,-2107871,2020-05-28 10:31:38,2020-05-28 10:31:38,ZCMP,100.016,,,,-2107871,202170,MZZ,202170EOT,ZGC,121Q,906,M,L,UG,3,W,W,Unsuccessful,Combo3,250,1342208_121Q_202170,
514,1345991,202230,-2111567,202230.0,Bachelor of Science,HDFS,College of Education/HHD,Human Development & Family Sci,N,UG,2009.0,6.0,3.47,,,,,,,-2111567,2021-12-06 01:36:50,2021-12-06 01:36:51,ZCMP,300.032,-2111567.0,HSM50,,-2111567,202330,MZZ,202330EOT,Z,105Q,2,M,L,UG,3,RW,A,Successful,105Q,290,1345991_105Q_202330,30.0
515,1347508,202370,-2113017,202370.0,Bachelor of Science,BLOB,College of Letters & Science,Biological Sciences,T,UG,2013.0,6.0,,,,,15.0,15.0,14.0,-2113017,2023-02-08 01:38:48,2023-02-08 01:38:48,ZCMP,100.001,,,,-2113017,202370,MZZ,202370EOT,Z,161Q,1,M,L,UG,4,RW,F,Unsuccessful,161Q,400,1347508_161Q_202370,
517,1347792,201870,-2113301,201870.0,Bachelor of Science,PSPB,College of Agriculture,Plant Science,C,UG,2013.0,5.0,3.65,,,,,,,-2113301,2020-05-28 10:31:38,2020-05-28 10:31:38,ZCMP,150.016,,,,-2113301,202230,MZZ,202230EOT,Z,216Q,3,STAT,L,UG,3,RW,B,Successful,216Q,300,1347792_216Q_202230,
